Franchise,Menu_Item,Cost_Dollars,Serving_Weight_G,Calories,Calories_Fat,Total_Fat_G,Sat_Fat_G,Trans_Fat_G,Chol_mG,Sodium_mG,Carbs_G,Fiber_G,Sugars_G,Protein_G,Percent_Carb,Percent_Protein,Percent_Fat,Distance_From_Macros,Distance_From_Macros_Revised,Distance_From_Macros_Revised_Normalized_Min_Max,Distance_From_Macros_Revised_Normalized_Mean,Distance_From_Macros_Normalized_Min_Max,Distance_From_Macros_Normalized_Mean,Calories_Normalized_Min_Max,Serving_Weight_G_Normalized_Min_Max,Distance_From_Macros_Revised_Normalized_Min_Max_Modified,Agg_Score
Arby's,Mint Chocolate Shake - Small,2.79,429.0,660.0,200.0,22.0,16.0,0.0,55.0,320.0,102.0,1.0,93.0,14.0,0.7391304347826086,0.10144927536231885,0.15942028985507245,0.5762122733081473,48.67,0.0,-2.748423066337033,0.5335310698273162,0.6456712433003545,0.9807692307692307,1.0,1.0,0.9932692307692307
Arby's,Curly Fries – Small,1.69,128.0,410.0,200.0,22.0,3.0,0.0,0.0,940.0,49.0,5.0,0.0,5.0,0.6447368421052632,0.06578947368421052,0.2894736842105263,0.5037944662914907,172.32,0.4108928986807563,-0.9080978159871801,0.3970996103138369,0.11957498961947861,0.5,0.23604060913705585,0.5891071013192437,0.5049596420301803
Arby's,Chicken Tenders (3),3.69,129.0,370.0,160.0,18.0,3.0,0.0,60.0,1190.0,28.0,2.0,0.0,23.0,0.4057971014492754,0.3333333333333333,0.2608695652173913,0.3063255273601196,163.01999999999998,0.3799887016914232,-1.0465128974934772,0.02507818827894314,-1.3149847308403964,0.4230769230769231,0.23857868020304568,0.6200112983085768,0.4938693742616683
Arby's,Chicken Slider,1.49,92.0,270.0,100.0,11.0,2.5,0.0,25.0,700.0,30.0,1.0,1.0,13.0,0.5555555555555556,0.24074074074074073,0.2037037037037037,0.39760945469599795,234.14,0.6163227328614627,0.011990392477259084,0.19705245744856573,-0.6518310926525258,0.23076923076923078,0.1446700507614213,0.38367726713853734,0.29430837195271264
Arby's,Ham Slider,1.49,84.0,200.0,70.0,7.0,2.5,0.0,25.0,660.0,22.0,1.0,3.0,11.0,0.55,0.275,0.175,0.3984344362627307,282.48,0.776958096567308,0.7314511494680553,0.19860668069638063,-0.6458378193197108,0.09615384615384616,0.12436548223350254,0.22304190343269203,0.16382962020521755
Arby's,Cherry Turnover,1.39,128.0,390.0,120.0,13.0,6.0,0.0,0.0,200.0,65.0,2.0,40.0,4.0,0.7926829268292683,0.04878048780487805,0.15853658536585366,0.6370711164199501,176.47,0.4246834812082544,-0.8463319462827571,0.6481860301485444,1.0877946751395342,0.46153846153846156,0.23604060913705585,0.5753165187917456,0.4846028123048927
Arby's,Apple Turnover,1.39,128.0,430.0,160.0,18.0,9.0,0.0,0.0,210.0,65.0,2.0,39.0,4.0,0.7471264367816092,0.04597701149425287,0.20689655172413793,0.5942373105412226,143.17,0.314026517794836,-1.3419472381278854,0.5674893217932678,0.7766183811859041,0.5384615384615384,0.23604060913705585,0.685973482205164,0.5668543709346787
Arby's,Mozzarella Sticks (4),2.99,137.0,440.0,210.0,23.0,9.0,0.5,35.0,1410.0,37.0,2.0,3.0,19.0,0.46835443037974683,0.24050632911392406,0.2911392405063291,0.3346060731110457,163.07999999999998,0.3801880836074834,-1.0456198969676302,0.07835729588502027,-1.1095340304596084,0.5576923076923077,0.25888324873096447,0.6198119163925166,0.5439307531982107
Burger King,Regular Fries,2.19,89.0,220.0,80.0,9.0,1.5,0.0,0.0,210.0,34.0,3.0,1.0,2.0,0.7555555555555555,0.044444444444444446,0.2,0.6023616074857688,270.81,0.7381783138935964,0.5577625471907984,0.5827950833915222,0.8356392541230486,0.1346153846153846,0.13705583756345177,0.26182168610640355,0.19858460330310415
Burger King,Ice Cream Cone,1.0,120.0,190.0,40.0,4.5,3.0,0.0,20.0,150.0,32.0,0.0,24.0,5.0,0.7710843373493976,0.12048192771084337,0.10843373493975904,0.6089702990158604,296.23,0.8226497856644402,0.9360971033080107,0.595245521592687,0.8836496537601715,0.07692307692307693,0.21573604060913706,0.17735021433555975,0.14795859018222735
